"maintenance_id","event","total_cost","service","labor_hours"
"MAINT00000085","Preventive",3285.64,"Scheduled Preventive",1.3
"MAINT00000086","Transmission",2088.85,"Scheduled Transmission",3.4
"MAINT00000087","Inspection",475.56,"Emergency Inspection",3.7
"MAINT00000088","Transmission",2647.71,"Emergency Transmission",1.5
"MAINT00000089","Tire",2631.35,"Emergency Tire",0.9
"MAINT00000090","Transmission",109.10,"Routine Transmission",0.6
"MAINT00000091","Engine",1779.64,"Scheduled Engine",2.2
"MAINT00000092","Transmission",1548.00,"Scheduled Transmission",7.1
"MAINT00000093","Engine",992.24,"Scheduled Engine",3.7
"MAINT00000094","Preventive",1107.09,"Emergency Preventive",0.5
"MAINT00000095","Repair",3134.40,"Scheduled Repair",2.1
"MAINT00000096","Repair",2009.77,"Routine Repair",4.6
"MAINT00000097","Brake",3732.67,"Scheduled Brake",6.4
"MAINT00000098","Preventive",2710.70,"Scheduled Preventive",0.6
"MAINT00000099","Engine",542.37,"Routine Engine",4.8
"MAINT00000100","Repair",1123.08,"Routine Repair",4.7
"MAINT00000101","Preventive",1454.26,"Routine Preventive",6.1
"MAINT00000102","Inspection",806.24,"Routine Inspection",7.8
"MAINT00000103","Repair",1440.88,"Emergency Repair",3.8
"MAINT00000104","Inspection",405.68,"Scheduled Inspection",3.8
"MAINT00000105","Engine",1858.21,"Emergency Engine",3.7
"MAINT00000106","Brake",2592.21,"Emergency Brake",3.9
"MAINT00000107","Tire",2813.66,"Scheduled Tire",2.7
"MAINT00000108","Engine",2539.65,"Emergency Engine",7.7
"MAINT00000109","Transmission",1968.53,"Routine Transmission",4.0
"MAINT00000110","Preventive",1930.93,"Routine Preventive",2.3
"MAINT00000111","Tire",1345.55,"Emergency Tire",0.6
"MAINT00000112","Brake",498.88,"Emergency Brake",3.0
"MAINT00000113","Preventive",3566.06,"Scheduled Preventive",7.7
"MAINT00000114","Brake",2227.15,"Scheduled Brake",4.6
"MAINT00000115","Inspection",735.84,"Routine Inspection",6.9
"MAINT00000116","Preventive",2577.02,"Routine Preventive",1.8
"MAINT00000117","Transmission",2273.22,"Scheduled Transmission",6.3
"MAINT00000118","Engine",748.15,"Emergency Engine",4.2
"MAINT00000119","Tire",4054.27,"Scheduled Tire",7.9
"MAINT00000120","Preventive",3598.82,"Emergency Preventive",7.2
"MAINT00000121","Tire",2070.55,"Scheduled Tire",4.9
"MAINT00000122","Transmission",2324.36,"Scheduled Transmission",6.5
"MAINT00000123","Inspection",330.18,"Routine Inspection",3.0
"MAINT00000124","Repair",2787.08,"Emergency Repair",3.9
"MAINT00000125","Repair",3995.45,"Routine Repair",6.0
"MAINT00000126","Repair",3612.56,"Routine Repair",4.0
"MAINT00000127","Brake",3512.54,"Routine Brake",1.2
"MAINT00000128","Transmission",3156.71,"Emergency Transmission",0.6
"MAINT00000129","Brake",1026.65,"Emergency Brake",3.6
"MAINT00000130","Repair",1503.57,"Scheduled Repair",2.9
"MAINT00000131","Inspection",548.85,"Routine Inspection",5.7
"MAINT00000132","Preventive",2914.12,"Emergency Preventive",1.0
"MAINT00000133","Transmission",1734.49,"Routine Transmission",7.2
"MAINT00000134","Preventive",748.63,"Emergency Preventive",3.7
"MAINT00000135","Inspection",568.87,"Emergency Inspection",5.3
"MAINT00000136","Brake",215.32,"Routine Brake",1.0
"MAINT00000137","Preventive",509.98,"Routine Preventive",1.0
"MAINT00000138","Transmission",2830.98,"Emergency Transmission",2.6
"MAINT00000139","Tire",1597.03,"Emergency Tire",2.5
"MAINT00000140","Tire",1699.76,"Routine Tire",3.0
"MAINT00000141","Inspection",602.10,"Scheduled Inspection",5.5
"MAINT00000142","Transmission",1628.00,"Emergency Transmission",6.4
"MAINT00000143","Preventive",1189.46,"Scheduled Preventive",1.8
"MAINT00000144","Engine",1613.25,"Emergency Engine",4.1
"MAINT00000145","Brake",3811.40,"Scheduled Brake",5.5
"MAINT00000146","Tire",2126.05,"Emergency Tire",4.6
"MAINT00000147","Engine",2510.00,"Scheduled Engine",7.5
"MAINT00000148","Transmission",1528.39,"Scheduled Transmission",1.3
"MAINT00000149","Repair",2301.34,"Scheduled Repair",3.4
"MAINT00000150","Repair",3385.38,"Routine Repair",2.4
"MAINT00000151","Preventive",2716.33,"Emergency Preventive",2.5
"MAINT00000152","Engine",2323.46,"Routine Engine",5.3
"MAINT00000153","Repair",708.34,"Emergency Repair",5.0
"MAINT00000154","Inspection",609.94,"Scheduled Inspection",4.8
"MAINT00000155","Inspection",630.05,"Scheduled Inspection",4.8
"MAINT00000156","Tire",2295.18,"Scheduled Tire",6.2
"MAINT00000157","Inspection",207.89,"Routine Inspection",1.3
"MAINT00000158","Tire",1209.77,"Emergency Tire",2.5
"MAINT00000159","Preventive",1291.95,"Routine Preventive",0.6
"MAINT00000160","Repair",3374.40,"Emergency Repair",0.7
"MAINT00000161","Repair",2223.95,"Emergency Repair",7.6
"MAINT00000162","Transmission",1750.87,"Scheduled Transmission",2.2
"MAINT00000163","Tire",3176.02,"Scheduled Tire",2.8
"MAINT00000164","Repair",1056.84,"Scheduled Repair",4.5
"MAINT00000165","Inspection",235.03,"Routine Inspection",1.9
"MAINT00000166","Repair",3581.25,"Routine Repair",2.3
"MAINT00000167","Transmission",1555.95,"Routine Transmission",5.5
"MAINT00000168","Repair",857.58,"Scheduled Repair",6.3
"MAINT00000169","Brake",1511.86,"Emergency Brake",3.7
"MAINT00000170","Inspection",145.09,"Scheduled Inspection",0.5
"MAINT00000171","Brake",1684.79,"Scheduled Brake",7.6
"MAINT00000172","Tire",1287.30,"Scheduled Tire",7.6
"MAINT00000173","Tire",1118.64,"Emergency Tire",1.4
"MAINT00000174","Tire",3466.12,"Routine Tire",7.7
"MAINT00000175","Transmission",744.27,"Emergency Transmission",3.0
"MAINT00000176","Preventive",801.71,"Routine Preventive",6.4
"MAINT00000177","Preventive",2635.17,"Scheduled Preventive",4.3
"MAINT00000178","Tire",4058.61,"Routine Tire",7.1
"MAINT00000179","Preventive",3014.22,"Routine Preventive",0.9
"MAINT00000180","Inspection",224.87,"Routine Inspection",1.8
"MAINT00000181","Engine",3752.01,"Scheduled Engine",6.8
"MAINT00000182","Tire",1027.43,"Scheduled Tire",6.5
"MAINT00000183","Preventive",2157.86,"Scheduled Preventive",6.2
"MAINT00000184","Preventive",2722.09,"Emergency Preventive",6.4
"MAINT00000185","Inspection",401.77,"Scheduled Inspection",2.9
"MAINT00000186","Inspection",719.55,"Scheduled Inspection",7.2
"MAINT00000187","Tire",1326.11,"Emergency Tire",4.8
"MAINT00000188","Repair",3087.51,"Scheduled Repair",6.7
"MAINT00000189","Transmission",1533.80,"Routine Transmission",2.6
"MAINT00000190","Engine",1189.00,"Routine Engine",5.4
"MAINT00000191","Transmission",1947.85,"Routine Transmission",1.0
"MAINT00000192","Brake",2987.38,"Emergency Brake",7.7
"MAINT00000193","Repair",2667.13,"Routine Repair",2.1
"MAINT00000194","Tire",603.94,"Emergency Tire",1.5
"MAINT00000195","Repair",577.08,"Emergency Repair",4.4
"MAINT00000196","Repair",3784.30,"Scheduled Repair",2.9
"MAINT00000197","Preventive",2224.99,"Scheduled Preventive",5.1
"MAINT00000198","Tire",3077.79,"Emergency Tire",6.0
"MAINT00000199","Brake",3757.84,"Scheduled Brake",5.2
"MAINT00000200","Inspection",511.40,"Scheduled Inspection",3.1
"MAINT00000201","Tire",3727.41,"Emergency Tire",5.2
"MAINT00000202","Repair",2684.51,"Routine Repair",0.6
"MAINT00000203","Brake",2096.69,"Scheduled Brake",1.0
"MAINT00000204","Tire",3077.56,"Emergency Tire",2.3
"MAINT00000205","Brake",1218.60,"Scheduled Brake",0.9
"MAINT00000206","Tire",2784.51,"Routine Tire",2.2
"MAINT00000207","Inspection",505.92,"Routine Inspection",5.3
"MAINT00000208","Engine",1591.12,"Emergency Engine",5.1
"MAINT00000209","Repair",2440.74,"Emergency Repair",1.1
"MAINT00000210","Repair",1483.30,"Routine Repair",6.5
"MAINT00000211","Tire",2111.50,"Emergency Tire",2.4
"MAINT00000212","Repair",3228.01,"Routine Repair",4.1
"MAINT00000213","Repair",587.52,"Routine Repair",3.5
"MAINT00000214","Engine",2918.20,"Scheduled Engine",3.1
"MAINT00000215","Tire",2113.73,"Emergency Tire",4.8
"MAINT00000216","Transmission",2654.74,"Routine Transmission",4.2
"MAINT00000217","Tire",2306.72,"Emergency Tire",0.8
"MAINT00000218","Brake",2531.41,"Scheduled Brake",7.0
"MAINT00000219","Brake",3785.74,"Emergency Brake",3.0
"MAINT00000220","Engine",828.21,"Routine Engine",7.5
"MAINT00000221","Engine",3544.06,"Scheduled Engine",6.8
"MAINT00000222","Engine",3289.80,"Emergency Engine",1.9
"MAINT00000223","Tire",566.96,"Scheduled Tire",2.9
"MAINT00000224","Transmission",1655.45,"Routine Transmission",1.9
"MAINT00000225","Inspection",475.87,"Scheduled Inspection",2.8
"MAINT00000226","Tire",2651.89,"Scheduled Tire",5.4
"MAINT00000227","Brake",3806.22,"Scheduled Brake",6.6
"MAINT00000228","Brake",657.59,"Scheduled Brake",2.1
"MAINT00000229","Engine",2081.52,"Emergency Engine",2.0
"MAINT00000230","Brake",3034.44,"Scheduled Brake",5.9
"MAINT00000231","Transmission",3433.03,"Scheduled Transmission",3.3
"MAINT00000232","Transmission",1815.56,"Scheduled Transmission",5.1
"MAINT00000233","Inspection",669.71,"Routine Inspection",6.7
"MAINT00000234","Inspection",955.69,"Emergency Inspection",7.7
"MAINT00000235","Preventive",3571.88,"Scheduled Preventive",4.7
"MAINT00000236","Engine",1042.05,"Emergency Engine",8.0
"MAINT00000237","Brake",4058.85,"Routine Brake",6.3
"MAINT00000238","Preventive",3349.42,"Emergency Preventive",1.8
"MAINT00000239","Inspection",460.57,"Scheduled Inspection",3.4
"MAINT00000240","Repair",3025.67,"Routine Repair",6.9
"MAINT00000241","Inspection",526.48,"Emergency Inspection",5.5
"MAINT00000242","Preventive",1760.22,"Routine Preventive",6.5
"MAINT00000243","Tire",3695.51,"Scheduled Tire",5.3
"MAINT00000244","Inspection",291.34,"Routine Inspection",2.5
"MAINT00000245","Brake",872.80,"Scheduled Brake",6.0
"MAINT00000246","Inspection",468.91,"Scheduled Inspection",3.6
"MAINT00000247","Brake",2303.30,"Scheduled Brake",0.8
"MAINT00000248","Inspection",178.11,"Routine Inspection",0.8
"MAINT00000249","Preventive",1585.12,"Scheduled Preventive",6.3
"MAINT00000250","Repair",2754.69,"Routine Repair",6.8
"MAINT00000251","Inspection",397.85,"Scheduled Inspection",3.2
"MAINT00000252","Repair",3368.06,"Routine Repair",0.6
"MAINT00000253","Engine",1533.56,"Routine Engine",7.7
"MAINT00000254","Tire",1125.28,"Scheduled Tire",7.0
"MAINT00000255","Brake",3256.81,"Routine Brake",0.6
"MAINT00000256","Preventive",3486.82,"Emergency Preventive",0.7
"MAINT00000257","Engine",3096.22,"Routine Engine",2.3
"MAINT00000258","Brake",1670.83,"Emergency Brake",4.1
"MAINT00000259","Tire",559.43,"Emergency Tire",2.9
"MAINT00000260","Tire",872.93,"Emergency Tire",1.5
"MAINT00000261","Engine",491.84,"Emergency Engine",1.4
"MAINT00000262","Inspection",964.43,"Scheduled Inspection",7.2
"MAINT00000263","Tire",3250.63,"Routine Tire",0.6
"MAINT00000264","Brake",3676.37,"Routine Brake",5.2
"MAINT00000265","Repair",873.91,"Routine Repair",1.7
"MAINT00000266","Engine",462.10,"Scheduled Engine",2.5
"MAINT00000267","Brake",361.82,"Routine Brake",0.6
"MAINT00000268","Tire",1454.04,"Routine Tire",4.6
"MAINT00000269","Engine",3561.52,"Emergency Engine",3.3
"MAINT00000270","Engine",3983.59,"Routine Engine",6.8
"MAINT00000271","Preventive",3152.29,"Emergency Preventive",4.9
"MAINT00000272","Engine",2601.14,"Emergency Engine",5.2
"MAINT00000273","Preventive",600.16,"Scheduled Preventive",1.0
"MAINT00000274","Repair",2634.60,"Emergency Repair",4.2
"MAINT00000275","Inspection",331.08,"Scheduled Inspection",2.5
"MAINT00000276","Preventive",1837.14,"Emergency Preventive",1.6
"MAINT00000277","Tire",3766.33,"Routine Tire",6.9
"MAINT00000278","Inspection",791.80,"Routine Inspection",7.9
"MAINT00000279","Transmission",2608.15,"Scheduled Transmission",4.6
"MAINT00000280","Brake",3798.16,"Scheduled Brake",5.2
"MAINT00000281","Transmission",1463.16,"Emergency Transmission",1.7
"MAINT00000282","Preventive",3605.46,"Emergency Preventive",5.5
"MAINT00000283","Tire",1702.36,"Emergency Tire",6.0
"MAINT00000284","Repair",2703.20,"Emergency Repair",4.3
"MAINT00000285","Inspection",605.08,"Routine Inspection",6.0
"MAINT00000286","Transmission",3081.14,"Scheduled Transmission",4.8
"MAINT00000287","Engine",2925.97,"Scheduled Engine",5.0
"MAINT00000288","Tire",1127.03,"Emergency Tire",3.9
"MAINT00000289","Preventive",926.43,"Routine Preventive",6.2
"MAINT00000290","Engine",725.16,"Routine Engine",3.5
"MAINT00000291","Tire",2517.09,"Emergency Tire",3.4
"MAINT00000292","Repair",2750.56,"Emergency Repair",7.2
"MAINT00000293","Preventive",1071.81,"Scheduled Preventive",4.2
"MAINT00000294","Transmission",2172.77,"Emergency Transmission",2.6
"MAINT00000295","Engine",2410.51,"Routine Engine",4.5
"MAINT00000296","Repair",1891.01,"Emergency Repair",7.2
"MAINT00000297","Tire",3728.02,"Routine Tire",5.8
"MAINT00000298","Repair",2481.09,"Scheduled Repair",3.7
"MAINT00000299","Repair",1169.72,"Scheduled Repair",4.9
"MAINT00000300","Preventive",3507.32,"Emergency Preventive",0.5
"MAINT00000301","Inspection",442.05,"Routine Inspection",3.7
"MAINT00000302","Inspection",456.09,"Scheduled Inspection",2.9
"MAINT00000303","Preventive",3597.08,"Routine Preventive",3.5
"MAINT00000304","Preventive",2344.03,"Scheduled Preventive",5.7
"MAINT00000305","Tire",2612.67,"Routine Tire",0.6
"MAINT00000306","Preventive",3648.55,"Emergency Preventive",2.4
"MAINT00000307","Transmission",1187.03,"Scheduled Transmission",5.4
"MAINT00000308","Engine",3383.90,"Scheduled Engine",4.2
"MAINT00000309","Engine",2843.68,"Emergency Engine",2.0
"MAINT00000310","Tire",4024.54,"Scheduled Tire",7.1
"MAINT00000311","Tire",3681.29,"Emergency Tire",6.0
"MAINT00000312","Brake",2441.04,"Routine Brake",4.7
"MAINT00000313","Transmission",2728.90,"Scheduled Transmission",2.5
"MAINT00000314","Transmission",2029.72,"Emergency Transmission",2.3
"MAINT00000315","Transmission",2791.96,"Emergency Transmission",1.8
"MAINT00000316","Engine",906.19,"Emergency Engine",2.3
"MAINT00000317","Inspection",334.83,"Scheduled Inspection",3.0
"MAINT00000318","Preventive",1804.46,"Emergency Preventive",5.7
"MAINT00000319","Preventive",3367.52,"Scheduled Preventive",0.9
"MAINT00000320","Brake",1771.92,"Emergency Brake",7.1
"MAINT00000321","Tire",3077.40,"Routine Tire",3.5
"MAINT00000322","Transmission",3819.00,"Emergency Transmission",3.2
"MAINT00000323","Repair",1958.63,"Routine Repair",2.1
"MAINT00000324","Inspection",860.85,"Emergency Inspection",8.0
"MAINT00000325","Engine",3557.84,"Scheduled Engine",0.8
"MAINT00000326","Repair",811.15,"Scheduled Repair",2.3
"MAINT00000327","Inspection",212.53,"Scheduled Inspection",1.6
"MAINT00000328","Engine",1482.57,"Scheduled Engine",3.2
"MAINT00000329","Inspection",729.57,"Scheduled Inspection",6.5
"MAINT00000330","Repair",3107.70,"Emergency Repair",6.5
"MAINT00000331","Inspection",907.86,"Scheduled Inspection",7.6
"MAINT00000332","Preventive",884.84,"Scheduled Preventive",7.2
"MAINT00000333","Repair",1623.62,"Routine Repair",5.9
"MAINT00000334","Preventive",2759.85,"Emergency Preventive",6.9
"MAINT00000335","Engine",3439.84,"Routine Engine",3.3
"MAINT00000336","Tire",4009.01,"Scheduled Tire",6.5
"MAINT00000337","Tire",308.59,"Scheduled Tire",1.3
"MAINT00000338","Brake",1056.08,"Emergency Brake",4.4
"MAINT00000339","Inspection",198.16,"Emergency Inspection",0.7
"MAINT00000340","Repair",2918.43,"Emergency Repair",4.6
"MAINT00000341","Repair",2898.92,"Scheduled Repair",6.9
"MAINT00000342","Transmission",1730.84,"Routine Transmission",1.3
"MAINT00000343","Preventive",2487.22,"Emergency Preventive",7.0
"MAINT00000344","Preventive",2054.16,"Scheduled Preventive",7.0
"MAINT00000345","Transmission",2180.51,"Emergency Transmission",2.1
"MAINT00000346","Transmission",1336.58,"Scheduled Transmission",4.3
"MAINT00000347","Repair",1099.50,"Emergency Repair",4.5
"MAINT00000348","Transmission",3392.61,"Emergency Transmission",4.2
"MAINT00000467","Engine",3857.57,"Routine Engine",5.8
"MAINT00000349","Inspection",199.51,"Emergency Inspection",0.9
"MAINT00000350","Tire",3436.14,"Emergency Tire",2.0
"MAINT00000351","Inspection",558.42,"Routine Inspection",3.5
"MAINT00000352","Inspection",216.42,"Routine Inspection",1.9
"MAINT00000353","Repair",2152.50,"Routine Repair",3.4
"MAINT00000354","Repair",2708.15,"Routine Repair",2.3
"MAINT00000355","Tire",3569.51,"Routine Tire",5.8
"MAINT00000356","Engine",1481.89,"Emergency Engine",4.0
"MAINT00000357","Engine",310.52,"Scheduled Engine",2.3
"MAINT00000358","Tire",614.11,"Routine Tire",1.4
"MAINT00000359","Inspection",390.52,"Scheduled Inspection",3.0
"MAINT00000360","Engine",2641.83,"Scheduled Engine",2.1
"MAINT00000361","Repair",924.29,"Scheduled Repair",6.8
"MAINT00000362","Engine",4004.55,"Scheduled Engine",6.5
"MAINT00000363","Repair",1329.79,"Scheduled Repair",7.4
"MAINT00000364","Engine",1321.44,"Emergency Engine",6.1
"MAINT00000365","Transmission",841.19,"Emergency Transmission",4.0
"MAINT00000366","Preventive",1969.42,"Routine Preventive",5.4
"MAINT00000367","Repair",860.06,"Emergency Repair",2.8
"MAINT00000368","Engine",637.99,"Emergency Engine",4.4
"MAINT00000369","Tire",3401.45,"Routine Tire",1.5
"MAINT00000370","Preventive",2048.98,"Emergency Preventive",2.5
"MAINT00000371","Tire",2338.24,"Emergency Tire",7.2
"MAINT00000372","Tire",3344.06,"Scheduled Tire",3.5
"MAINT00000373","Engine",2616.86,"Scheduled Engine",1.6
"MAINT00000374","Tire",2707.42,"Scheduled Tire",5.5
"MAINT00000375","Transmission",1626.43,"Emergency Transmission",0.5
"MAINT00000376","Preventive",3247.28,"Routine Preventive",2.8
"MAINT00000377","Preventive",3647.88,"Emergency Preventive",1.7
"MAINT00000378","Inspection",514.32,"Routine Inspection",4.1
"MAINT00000379","Transmission",2019.42,"Routine Transmission",3.8
"MAINT00000380","Engine",2581.54,"Scheduled Engine",3.7
"MAINT00000381","Engine",1119.50,"Scheduled Engine",2.0
"MAINT00000382","Inspection",402.35,"Routine Inspection",3.0
"MAINT00000383","Brake",3538.98,"Routine Brake",2.7
"MAINT00000384","Brake",3178.02,"Scheduled Brake",1.2
"MAINT00000385","Tire",1040.63,"Routine Tire",4.8
"MAINT00000386","Inspection",719.71,"Scheduled Inspection",6.0
"MAINT00000387","Tire",3219.88,"Routine Tire",5.3
"MAINT00000388","Preventive",359.11,"Routine Preventive",2.9
"MAINT00000389","Preventive",2206.50,"Emergency Preventive",7.9
"MAINT00000390","Brake",3123.42,"Emergency Brake",1.9
"MAINT00000391","Engine",1426.64,"Emergency Engine",6.3
"MAINT00000392","Preventive",3034.89,"Emergency Preventive",6.4
"MAINT00000393","Repair",2705.88,"Routine Repair",5.8
"MAINT00000394","Tire",824.36,"Routine Tire",3.7
"MAINT00000395","Tire",3540.62,"Routine Tire",5.2
"MAINT00000396","Preventive",3769.36,"Emergency Preventive",5.4
"MAINT00000397","Brake",873.31,"Routine Brake",1.3
"MAINT00000398","Transmission",2407.06,"Emergency Transmission",6.1
"MAINT00000399","Preventive",2183.96,"Emergency Preventive",7.3
"MAINT00000400","Engine",2486.58,"Routine Engine",6.3
"MAINT00000401","Engine",3013.93,"Scheduled Engine",4.7
"MAINT00000402","Inspection",346.36,"Scheduled Inspection",3.1
"MAINT00000403","Repair",3336.36,"Routine Repair",2.2
"MAINT00000404","Preventive",793.07,"Routine Preventive",5.1
"MAINT00000405","Inspection",381.07,"Emergency Inspection",2.8
"MAINT00000406","Inspection",457.44,"Routine Inspection",3.9
"MAINT00000407","Tire",1221.49,"Emergency Tire",0.7
"MAINT00000408","Engine",646.95,"Scheduled Engine",1.1
"MAINT00000409","Preventive",3265.36,"Routine Preventive",2.9
"MAINT00000410","Repair",984.28,"Scheduled Repair",2.6
"MAINT00000411","Repair",2964.92,"Emergency Repair",0.6
"MAINT00000412","Repair",3745.74,"Routine Repair",6.4
"MAINT00000413","Engine",2039.87,"Emergency Engine",2.0
"MAINT00000414","Transmission",2242.57,"Scheduled Transmission",1.7
"MAINT00000415","Engine",1707.79,"Scheduled Engine",7.7
"MAINT00000416","Transmission",966.16,"Routine Transmission",5.3
"MAINT00000417","Repair",2231.44,"Emergency Repair",2.6
"MAINT00000418","Engine",3217.83,"Scheduled Engine",5.3
"MAINT00000419","Inspection",486.42,"Scheduled Inspection",3.2
"MAINT00000420","Engine",1919.67,"Emergency Engine",1.5
"MAINT00000421","Transmission",1546.66,"Emergency Transmission",1.0
"MAINT00000422","Tire",2102.84,"Scheduled Tire",6.9
"MAINT00000423","Engine",1039.52,"Scheduled Engine",4.2
"MAINT00000424","Repair",4240.05,"Scheduled Repair",7.3
"MAINT00000425","Repair",1302.33,"Routine Repair",3.8
"MAINT00000426","Transmission",2577.38,"Emergency Transmission",5.8
"MAINT00000427","Transmission",2130.33,"Emergency Transmission",4.0
"MAINT00000428","Brake",2949.24,"Emergency Brake",6.4
"MAINT00000429","Engine",718.27,"Emergency Engine",5.1
"MAINT00000430","Repair",3164.88,"Routine Repair",2.8
"MAINT00000431","Repair",3045.36,"Scheduled Repair",7.7
"MAINT00000432","Brake",2671.78,"Emergency Brake",1.9
"MAINT00000433","Inspection",819.32,"Routine Inspection",5.7
"MAINT00000434","Preventive",2139.11,"Routine Preventive",0.7
"MAINT00000435","Repair",1371.27,"Routine Repair",6.6
"MAINT00000436","Tire",3210.62,"Scheduled Tire",5.1
"MAINT00000437","Brake",2517.89,"Scheduled Brake",6.0
"MAINT00000438","Tire",2722.27,"Scheduled Tire",0.8
"MAINT00000439","Tire",3674.42,"Scheduled Tire",7.6
"MAINT00000440","Repair",2078.65,"Emergency Repair",5.5
